PERMNO,date,TICKER,HSICMG,BIDLO,ASKHI,PRC,VOL,OPENPRC,sprtrn
84398,04/11/2000,SPY,,148.37500,151.62500,150.40625,9006399,150.00000,-0.002572
84398,04/12/2000,SPY,,146.15625,151.15625,146.28125,10779699,150.37500,-0.022271
84398,04/13/2000,SPY,,141.12500,148.15625,144.25000,12226799,147.46875,-0.018171
84398,04/14/2000,SPY,,133.50000,142.81250,138.37500,29603792,142.62500,-0.058278
84398,04/17/2000,SPY,,134.68750,140.75000,140.75000,23918192,135.18750,0.033084
84398,04/18/2000,SPY,,139.78125,144.46875,144.46875,10955699,140.56250,0.028663
84398,04/19/2000,SPY,,142.53125,145.12500,143.12500,6553699,144.50000,-0.009808
84398,04/20/2000,SPY,,142.37500,143.93750,143.81250,8537599,143.56250,0.004953
84398,04/24/2000,SPY,,140.50000,143.31250,142.25000,12893099,141.50000,-0.003262
84398,04/25/2000,SPY,,144.43750,148.15625,148.15625,14102000,144.62500,0.033276
84398,04/26/2000,SPY,,146.00000,148.75000,146.48438,7711099,147.96875,-0.011134
84398,04/27/2000,SPY,,143.00000,147.34375,146.00000,15595299,143.00000,0.002690
84398,04/28/2000,SPY,,145.06250,147.85938,145.09375,8743398,147.00000,-0.008526
84398,05/01/2000,SPY,,145.84375,148.48438,147.06250,7328299,146.56250,0.010892
84398,05/02/2000,SPY,,144.12500,147.12500,144.12500,9411899,145.50000,-0.014957
84398,05/03/2000,SPY,,139.78125,144.00000,141.62500,12180699,144.00000,-0.021566
84398,05/04/2000,SPY,,140.75000,142.35938,141.81250,5963599,142.00000,-0.003908
84398,05/05/2000,SPY,,140.93750,144.00000,143.53125,7862399,141.06250,0.016360
84398,05/08/2000,SPY,,141.84375,143.37500,142.45313,5064099,142.75000,-0.005905
84398,05/09/2000,SPY,,140.26563,143.40625,141.31250,5619799,143.06250,-0.008447
84398,05/10/2000,SPY,,137.75000,140.96875,138.12500,10293899,140.50000,-0.020600
84398,05/11/2000,SPY,,139.12500,141.50000,141.28125,7091099,140.12500,0.017902
84398,05/12/2000,SPY,,141.62500,143.46875,142.81250,5960799,141.81250,0.009341
84398,05/15/2000,SPY,,142.00000,145.60938,145.28125,4441299,142.75000,0.022098
84398,05/16/2000,SPY,,145.31250,147.71875,146.56250,8192000,146.56250,0.009419
84398,05/17/2000,SPY,,144.46875,146.18750,145.15625,5906899,145.68750,-0.012442
84398,05/18/2000,SPY,,143.81250,146.31250,143.81250,4325299,145.62500,-0.007315
84398,05/19/2000,SPY,,140.40625,143.23438,141.12500,6518399,142.56250,-0.021055
84398,05/22/2000,SPY,,137.00000,141.46875,140.06250,10839399,141.25000,-0.004428
