date,price,dix,gex
2011-05-02,1361.219971,0.37884209915686345,1897312571.4860
2011-05-03,1356.619995,0.38341107994146323,1859730656.1300
2011-05-04,1347.319946,0.39212179979185374,1717763844.5350
2011-05-05,1335.099976,0.4054570196735625,1361864280.2750
2011-05-06,1340.199951,0.41864866545256374,1490328625.9800
2011-05-09,1346.290039,0.4103205027781488,1677058729.0400
2011-05-10,1357.160034,0.3928514271714904,2034952130.6900
2011-05-11,1342.079956,0.40081409772494436,1536770884.9200
2011-05-12,1348.650024,0.3875339951676699,1674923266.0950
2011-05-13,1337.77002,0.4055951917654673,1218149461.5400
2011-05-16,1329.469971,0.389702743625763,779596412.2690
2011-05-17,1328.97998,0.3947468322564728,841850592.0000
2011-05-18,1340.680054,0.4023302249231638,1366160182.3250
2011-05-19,1343.599976,0.3946342030319486,1543685364.7800
2011-05-20,1333.27002,0.41320161645697717,1288076423.5650
2011-05-23,1317.369995,0.4058465565335275,539696742.8050
2011-05-24,1316.280029,0.38938034849624015,510244377.5120
2011-05-25,1320.469971,0.397290689726496,740695062.9030
2011-05-26,1325.689941,0.3976559763379473,794680724.9300
2011-05-27,1331.099976,0.400935309915913,918664965.1600
2011-05-31,1345.199951,0.4024774071359699,1501018826.7750
2011-06-01,1314.550049,0.44158181547954795,765472910.6735
2011-06-02,1312.939941,0.4130699544074263,737054457.0980
2011-06-03,1300.160034,0.4361097185889154,405956517.9020
2011-06-06,1286.170044,0.4001471281500261,24119666.1040
2011-06-07,1284.939941,0.4067739261627282,-172403089.1400
2011-06-08,1279.560059,0.4045812401043901,-285916518.0200
2011-06-09,1289.0,0.4144506947029147,-110999211.3350
2011-06-10,1270.97998,0.43612552653276865,-459227978.2000
2011-06-13,1271.829956,0.40885086034686896,-449818392.3400
2011-06-14,1287.869995,0.42697031931413504,97844618.1760
2011-06-15,1265.420044,0.43025974849957066,-618829105.2440
2011-06-16,1267.640015,0.38797496281997024,-643026779.9100
2011-06-17,1271.5,0.4089676915491283,-444255510.6200
2011-06-20,1278.359985,0.37137759225057404,130641736.1000
2011-06-21,1295.52002,0.4234861745377597,594237200.5350
2011-06-22,1287.140015,0.44720989276358014,421966023.1750
2011-06-23,1283.5,0.44616741818992567,673524372.8710
2011-06-24,1268.449951,0.4474775675604366,197912878.1900
2011-06-27,1280.099976,0.42296872573512656,533994908.7800
2011-06-28,1296.670044,0.4346091542572899,1000303669.7850
2011-06-29,1307.410034,0.4191406401143612,1263240916.7000
2011-06-30,1320.640015,0.4119331097271801,1731119949.9300
2011-07-01,1339.670044,0.41443707194550716,2019895206.7270
2011-07-05,1337.880005,0.41829749121646653,2204693723.4800
2011-07-06,1339.219971,0.4295129816588348,2236776776.8150
2011-07-07,1353.219971,0.4161983588738248,2729301387.3950
2011-07-08,1343.800049,0.4396265002513235,2490173790.3000
2011-07-11,1319.48999,0.4276814368390468,1737340522.9600
2011-07-12,1313.640015,0.42838819815278584,1533836324.3900
2011-07-13,1317.719971,0.4280203404464783,1957650368.7000
2011-07-14,1308.869995,0.43380292134958837,1650214262.9100
2011-07-15,1316.140015,0.42637835226561854,4176336442.1450
2011-07-18,1305.439941,0.41624754705477784,887183380.0300
2011-07-19,1326.72998,0.41034517268890397,1304589932.6040
2011-07-20,1325.839966,0.4396847355716439,1549113896.3450
2011-07-21,1343.800049,0.42232637003862655,1763114024.4300
2011-07-22,1345.02002,0.44517332365021983,1635847483.6200
2011-07-25,1337.430054,0.44448872615932933,1594831932.2000
2011-07-26,1331.939941,0.42152993350287643,1541061094.8500
2011-07-27,1304.890015,0.41801219849447707,839162001.7910
2011-07-28,1300.670044,0.40852000101155284,727984032.6250
2011-07-29,1292.280029,0.4036083698172441,634859900.9820
2011-08-01,1286.939941,0.4403099342693885,645133919.3650
2011-08-02,1254.050049,0.4413161626327892,54369376.3900
2011-08-03,1260.339966,0.431168960706926,224930307.4850
2011-08-04,1200.069946,0.4297023145255602,-660360325.5250
2011-08-05,1199.380005,0.42131872188670133,-463212353.0600
2011-08-08,1119.459961,0.4227911030136967,-802754541.0600
2011-08-09,1172.530029,0.4195870836725282,-374593397.9650
2011-08-10,1120.76001,0.46485704930318367,-759558784.6500
2011-08-11,1172.640015,0.42785409639178784,-264886917.4900
2011-08-12,1178.810059,0.4569903812569918,-309018593.5000
2011-08-15,1204.48999,0.46463637959030646,-23047118.8000
2011-08-16,1192.76001,0.4690793280135833,-225224022.6350
2011-08-17,1193.890015,0.48225415101858954,-251705740.2400
2011-08-18,1140.650024,0.462807641684515,-836496736.4770
2011-08-19,1123.530029,0.45859282805660945,-1187036923.0400
2011-08-22,1123.819946,0.4485672283875851,-361898319.3950
2011-08-23,1162.349976,0.46155908413918056,54580971.0290
2011-08-24,1177.599976,0.47969840215912724,205415735.8900
2011-08-25,1159.27002,0.4887690641852494,2799983.6600
2011-08-26,1176.800049,0.47969900783421754,137694130.0600
2011-08-29,1210.079956,0.4810642202035492,561222253.0750
2011-08-30,1212.920044,0.47834292712730253,635378251.3700
2011-08-31,1218.890015,0.460570921316142,605715448.2100
2011-09-01,1204.420044,0.48754066881222663,320553022.0150
2011-09-02,1173.969971,0.4940899341374506,-15399260.0600
2011-09-06,1165.23999,0.503255068793401,-974825.7100
2011-09-07,1198.619995,0.46361806171109166,424298106.0600
2011-09-08,1185.900024,0.47364239170733025,294110267.9700
2011-09-09,1154.22998,0.5004884273045952,-164918292.1800
2011-09-12,1162.27002,0.4690950921167392,-55401539.4950
2011-09-13,1172.869995,0.4835543464194404,180810962.2350
