date,Mkt-RF,SMB,HML,RMW,CMA,RF
20060605,-1.94,-1.19,0.28,-0.27,0.23,0.018
20060606,-0.28,-0.17,-0.02,0.33,0.07,0.018
20060607,-0.57,-0.01,-0.15,-0.43,0,0.018
20060608,0.01,-0.24,0.07,0.37,-0.16,0.018
20060609,-0.44,-0.24,0.01,0.18,0.11,0.018
20060612,-1.48,-1.25,0.28,0.3,-0.04,0.018
20060613,-1.15,-0.47,-0.39,0.18,-0.02,0.018
20060614,0.46,0.12,-0.25,0.14,0.26,0.018
20060615,2.33,1.13,0.17,-0.32,0.05,0.018
20060616,-0.43,-0.71,-0.02,0.21,0.07,0.018
20060619,-1.01,-0.79,0.17,-0.36,0.18,0.018
20060620,-0.07,-0.36,0.04,0.05,0.02,0.018
20060621,1.11,0.74,-0.2,0.01,-0.11,0.018
20060622,-0.52,0.21,0.14,0.37,-0.31,0.018
20060623,0.03,0.31,0.15,0.22,-0.34,0.018
20060626,0.5,0.58,0.2,0.08,-0.12,0.018
20060627,-1,-0.68,0.29,0.35,-0.2,0.018
20060628,0.47,-0.34,0.15,0.24,-0.02,0.018
20060629,2.29,1.42,-0.3,0.04,-0.05,0.018
20060630,-0.02,1.18,0.06,-0.21,0.23,0.018
20060703,0.72,-0.04,-0.21,0.26,-0.04,0.02
20060705,-0.88,-0.53,0.32,0.15,0.05,0.02
20060706,0.23,-0.1,0.06,0.14,0.24,0.02
20060707,-0.8,-0.79,0.67,0.09,0.22,0.02
20060710,0.04,-0.21,0.57,0.48,0.18,0.02
20060711,0.37,0.27,-0.06,-0.27,-0.23,0.02
20060712,-1.21,-0.62,0.27,-0.05,0.08,0.02
20060713,-1.43,-0.59,0.16,0.14,0.01,0.02
20060714,-0.6,-0.28,0.17,0.48,-0.07,0.02
20060717,-0.22,-0.51,0.04,-0.28,0.33,0.02
20060718,0.17,0.18,0.3,0.08,0.09,0.02
20060719,1.98,0.99,-0.26,0.31,-0.06,0.02
20060720,-1.11,-1.6,0.65,-0.32,0.23,0.02
20060721,-0.89,-0.79,0.24,0.55,0.42,0.02
20060724,1.75,0.88,-0.56,0.25,-0.36,0.02
20060725,0.69,0.26,-0.15,-0.02,-0.27,0.02
20060726,-0.13,-0.26,0.35,-0.1,0.27,0.02
20060727,-0.58,-0.73,0.31,-0.23,0.03,0.02
20060728,1.31,0.64,-0.09,0.03,0.09,0.02
20060731,-0.09,0.27,-0.14,-0.02,-0.21,0.02
20060801,-0.6,-0.92,0.4,0.23,-0.11,0.018
20060802,0.64,0.31,-0.25,-0.08,-0.14,0.018
20060803,0.27,0.79,-0.46,0.46,0.01,0.018
20060804,-0.13,-0.44,0.06,0.07,0.01,0.018
20060807,-0.35,-0.3,0.11,0.32,-0.17,0.018
20060808,-0.42,-0.76,0.08,0.05,-0.06,0.018
20060809,-0.52,-0.48,-0.01,-0.19,0.63,0.018
20060810,0.49,0.28,-0.41,-0.03,0.19,0.018
20060811,-0.49,-0.55,0.14,-0.03,0.02,0.018
20060814,0.12,0.17,-0.26,-0.31,0.61,0.018
20060815,1.46,0.73,-0.44,-0.37,-0.16,0.018
20060816,0.9,0.53,-0.49,-0.22,-0.07,0.018
20060817,0.18,0.3,-0.21,-0.54,0.19,0.018
20060818,0.3,-0.17,-0.14,0.12,-0.03,0.018
20060821,-0.48,-0.46,0.11,0.08,0.18,0.018
20060822,0.07,0.26,0.04,-0.04,-0.02,0.018
20060823,-0.55,-0.77,0.16,-0.31,0.42,0.018
20060824,0.16,-0.18,0.09,-0.14,0.02,0.018
20060825,-0.07,0.2,-0.21,-0.04,0.05,0.018
20060828,0.58,0.38,-0.11,-0.13,0.17,0.018
20060829,0.33,0.86,-0.17,-0.42,0.32,0.018
20060830,0.13,0.65,-0.32,-0.4,0.07,0.018
20060831,0.03,0.05,0.27,0.03,-0.05,0.018
20060901,0.49,-0.25,-0.13,0.32,-0.05,0.02
20060905,0.21,0.52,0.02,0.04,-0.49,0.02
20060906,-1.13,-0.98,0.42,0.05,0.52,0.02
20060907,-0.5,-0.19,0.21,0,-0.05,0.02
20060908,0.32,-0.12,-0.15,-0.22,0.39,0.02
20060911,-0.03,-0.2,-0.05,-0.21,0.49,0.02
